Subject,Agency,Solicitation #,Date,Year,Description
"EXTERIOR PAINTING, FB/USPO, SPOKANE, WASHINGTON",General Services Administration,10PM3XX990138,0622,99,"Contractor shall furnish all labor, materials and equipment to paint all previously painted workwork and exterior metal on the FB/USPO, 904 West Riverside Avenue, Spokane, Washington.  Building is five [5] stories.  Repair/replace missing, loose, cracked or defective caulking and glazing compound from glass, frames and trim of exterior windows.  All old paint contains lead.  Sic Code 1721.  All responsible sources may submit a quotation which, if timely received, may be considered by the Government.  This procurement is set aside for small business concerns.  Price range $100,000 - $250,000.  Please fax requests for solicitations to 509-353-2359."
"IRS SPACE ALTERATIONS, USCH, SPOKANE, WASHINGTON",General Services Administration,10PM3XX990140,0622,99,"Contractor shall furnish all labor, equpment, and materials to install cable; drill holes for electrical, computer data lines and phone lines; demo and construct floors, walls and ceiling; remove carpet and replace with Government-furnished carpet; remove asbestos in ceiling and fire proofing; and install water-cooled A/C ceiling unit in IDF room on the 4th floor, U S Courthouse, 920 West Riverside Avenue, Spokane, Washington.  Sic Code 1542.  All responsible sources may submit a quotation which, if timely received, may be considered by the Government.  This procurement is set aside for small business concerns.  Price range $25,000 - $100,000.  Please fax requests for solicitations to 509-353-2359."
"SPACE ALTERATIONS AT THE SOCIAL SECURITY OFFICE, T.J. MCINTYRE FEDERAL BUILDING, 80 DANIEL ST., PORTSMOUTH, NH",General Services Administration,1PN-NH-99-0652,0625,99,"Space Alterations at the Social Security Office, T.J. McIntyre Federal Building, 80 Daniel St., Portsmouth, NH.  This procurement is 100% set-aside for small business concerns.  The cost range is $25,000 to $50,000.  Estimated issue date is on or about July 12, 1999, bid opening date is on or about July 26, 1999 at 3:00 p.m. local time.  To obtain a copy of the Solicitation, fax a request to Dolores Murphy at (603)666-7586, or e-mail at:Kathy.Needham@gsa.gov."
"VISIONNET EMULATOR, ANALYZERS, UPGRADES, SEAWIND DRIVER",General Services Administration,4TRF-99-AJR-0003,0727,99,"This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued.  The solicitation number is 4TRF-99-AJR-003 and is issued as a request for proposal.  The solicitation and incorporated provisions and clauses are those in effect through Federal Acquisition Circular 10.  This requirement is not being set-aside ."
"SCALER, PNEUMATIC, PORTABLE",General Services Administration,5130-01-317-2453,1024,98,"NSN-5130-01-317-2453, Quantity-184 ea, 2 orders for 2 destinations,Bar Code Marking required, Von Arx P/N NP-23 or equal, For Complete Description and Request for Quotes please call Pete Kunellis at 816-823-1713."
RFQ 5133-00-980-3423,General Services Administration,5133-00-980-3423,0129,99,"Request for Quotation for NSN 5133-00-980-3423, Twist Drill Set."
DATE BASE MAINTENANCE SERVICE,General Services Administration,5FQP-05-99-074,1210,98,"Contractor will be required to perform the necessary services that include data entry and data maintenance of all the National Stock Numbers (NSNs) in the General Services Administration's Product Information and Communication System (PICS) database.  Data entry will be required based upon hard copy of page proofs, previously published catalogs and instructions by way of e-mail, memo, or fax.  The contractor must also perform edits in PICS and will be responsible for maintaining the data integrity of the system according to GSA specifications.   Period of contract will be 3/1/99 through 2/29/00, with option to extend the term of the contract period for an additional 1 year.  All responsible sources may submit an offer which will be considered.  The solicitation will only be available on the internet at http://eps.arnet.gov."
OFFICE RELOCATION SERVICES,General Services Administration,5FQP-10-99-076,0716,99,"Office relocation services for the states of Iowa, Kansas, Missouri and Nebraska.  Services shall include but are not limited to moving, packing and storage of office furniture, equipment and related supplies.  Contract period will be October 1, 1999 through September 30, 2000 with an option to extend the term of the contract for one additional year.  This procurement will be 100% set-aside for small business firms.  GSA is issuing this solicitation only electronically, paper copies are not available. Interested parties may access the solicitation at http://www.eps.gov.  This site provides instructions for downloading the solicitation file."
COLOR PRODUCT PHOTOGRAPHY FOR CATALOG PUBLISHING SYSTEM,General Services Administration,5FQP-SA-0174-C,0622,99,"This is a combined synopsis/solicitation for photography and electronic imaging services, and it is prepared in accordance with FAR 12.6, as supplemented with additional information included in this notice.  This is a request for proposals identified as CPN-B-CJ079-1.  The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular FAC 97-11.  The Standard Industrial Classification Code is 8999 for Services, N.E.C. (Not Elsewhere Classified). The General Services Administration is currently updating and expanding it's image library to replace black and white photographs with color images for the majority of products stocked in our warehouse distribution centers. The contractor(s) shall provide all management, supervision, personnel, materials, and equipment necessary for the performance of the photography and electronic imaging services described in this RFP. The schedule for this photography contract should assume a start date of July 9, 1999 and a completion date of August 20, 1999.  The contractor(s) will discuss project management with GSA representatives to provide consultation on the most effective method of photography, electronic imaging, and logging and tracking for the specific requirements of the project. The contractor(s) will assign a project manager to oversee the production and serve as GSA's main point of contact.  The project manager is expected to be available for meetings to discuss various project specifics and to provide consultation as needed throughout the project.  Approximately 2,000 to 4,000 product shots will be required for this proposal.  GSA reserves the right to award to more than one contractor.  Each contractor selected will receive no less than 50 products and no more than 2,000 to shoot.  Contractors must submit their bid identifying the cost per item including photography, transparency, scanning and proofs.  The price breakdown should be shown in-groups of 100 with the first grouping in a quantity of 50, economies of scale should prevail. Quotes must be submitted on the following grouping breakdowns.  A line item Price for each grouping must show Price  Per Color Shoot, Price Per Scan (Color & Black/"
"PAINT, LATEX, (RECYCLED)",General Services Administration,6FER-99-8048-B7-I,0125,99,"Blanket Purchase Agreement is for 35 items of Latex Paint, Recycled.  PBA will issue today on EPS with a closing date of 2/25/99.  Agreement will be for a 5 year period of 5/1/99 or DOA, whichever is later, through 4/30/04."
